part_number,ean_code,product_family,description,stibo_code,oaa_live,replacement_part,replacement_product_link,last_order_date,discontinuation_notice_url,source_last_modified
SYN-CJ2M-CPU11,4543787468844,SYN-CJ2M,CJ2M Modular PLC CPU Unit,ZZ,true,SYN-NX102-9120,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-9120,2020-08-17,https://example.omron.test/notices/DN-2020-1021,2026-05-12 03:44:00
SYN-CJ2M-CPU12,4562434054945,SYN-CJ2M,CJ2M Modular PLC CPU Unit,ZZ,true,SYN-NX102-1200,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-1200,2019-02-03,https://example.omron.test/notices/DN-2019-1022,2026-04-13 12:14:00
SYN-CJ2M-CPU13,4582653717400,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CZ,true,SYN-NX102-1201,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-1201,2020-05-03,https://example.omron.test/notices/DN-2020-1023,2026-01-10 13:25:00
SYN-CJ2M-CPU31,4563205137313,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CZ,true,SYN-NX102-1200,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-1200,2020-04-13,https://example.omron.test/notices/DN-2020-1024,2026-07-08 15:48:00
SYN-CJ2M-CPU32,4568349057419,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CZ,true,SYN-NX102-9001,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-9001,2023-12-12,https://example.omron.test/notices/DN-2023-1025,2026-07-28 13:48:00
SYN-CJ2M-CPU33,4546093783620,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CZ,true,SYN-NX102-9000,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-9000,2020-10-25,https://example.omron.test/notices/DN-2020-1026,2026-06-10 12:02:00
SYN-CJ2M-CPU34,4526159428332,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CZ,true,,,2023-05-28,https://example.omron.test/notices/DN-2023-1027,2026-06-24 13:01:00
SYN-CJ2M-CPU35,4585691034370,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CA,true,,,,,2026-08-29 03:38:00
SYN-CJ2M-MD211,4551234026739,SYN-CJ2M,CJ2M Modular PLC CPU Unit,CZ,true,,,,,2026-07-25 17:51:00
SYN-CS1G-CPU42H,4500221659236,SYN-CS1,CS1 Rack PLC Unit,ZZ,true,SYN-CJ2M-CPU31,https://example.omron.test/en/us/products/family/syn-cj2m/SYN-CJ2M-CPU31,2019-01-31,https://example.omron.test/notices/DN-2019-1029,2026-07-15 03:10:00
SYN-CS1G-CPU43H,4513770771437,SYN-CS1,CS1 Rack PLC Unit,ZZ,true,SYN-NX102-1200,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-1200,2021-12-24,https://example.omron.test/notices/DN-2021-1030,2026-08-19 13:21:00
SYN-CS1G-CPU44H,4564829496358,SYN-CS1,CS1 Rack PLC Unit,ZZ,true,SYN-NX102-1200,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-1200,2019-01-26,https://example.omron.test/notices/DN-2019-1031,2026-03-16 18:37:00
SYN-CS1W-BC083,4555138736495,SYN-CS1,CS1 Rack PLC Unit,ZZ,true,,,,,2026-06-18 15:09:00
SYN-CS1W-CN226,4568853438885,SYN-CS1,CS1 Rack PLC Unit,CZ,true,SYN-NX102-9120,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-9120,2020-09-21,https://example.omron.test/notices/DN-2020-1028,2026-05-19 04:53:00
SYN-CS1W-CN626,4539786081394,SYN-CS1,CS1 Rack PLC Unit,CZ,true,SYN-NX102-9001,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-9001,2019-08-28,,2026-02-10 04:23:00
SYN-CS1W-PA204,4551357297492,SYN-CS1,CS1 Rack PLC Unit,ZZ,true,,,,,2026-05-15 07:46:00
SYN-CS1W-SCU21,4519470586475,SYN-CS1,CS1 Rack PLC Unit,ZZ,true,SYN-NX102-1200,https://example.omron.test/en/us/products/family/syn-nx102/SYN-NX102-1200,2024-10-09,,2026-04-11 23:00:00
SYN-E2E-X10D1-N,4532565768280,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-07-21 21:16:00
SYN-E2E-X10E1-N,4598688504979,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-05-12 05:03:00
SYN-E2E-X10ME1,4591222627451,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-07-21 00:27:00
SYN-E2E-X18ME1,4519990602679,SYN-E2E,E2E Proximity Sensor,,false,,,,,2026-05-20 12:46:00
SYN-E2E-X2D1-N,4552103315719,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-01-01 04:28:00
SYN-E2E-X2E1-N,4558611572643,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-05-21 10:58:00
SYN-E2E-X2ME1,4555879672878,SYN-E2E,E2E Proximity Sensor,CY,true,SYN-E2E-X10E1-N,https://example.omron.test/en/us/products/family/syn-e2e/SYN-E2E-X10E1-N,2027-03-31,https://example.omron.test/notices/DN-2026-1009,2026-05-01 11:31:00
SYN-E2E-X5D1-N,4517654089279,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-08-05 04:54:00
SYN-E2E-X5E1-N,4542750522108,SYN-E2E,E2E Proximity Sensor,,true,,,,,2026-06-29 02:21:00
SYN-E2E-X5ME1,4596111166615,SYN-E2E,E2E Proximity Sensor,CZ,true,SYN-E2E-X10E1-N,https://example.omron.test/en/us/products/family/syn-e2e/SYN-E2E-X10E1-N,2021-01-17,https://example.omron.test/notices/DN-2021-1010,2026-03-11 16:50:00
SYN-E3Z-D61,4507827872232,SYN-E3Z,E3Z Photoelectric Sensor,CY,true,SYN-E3Z-T61,https://example.omron.test/en/us/products/family/syn-e3z/SYN-E3Z-T61,2027-03-31,https://example.omron.test/notices/DN-2026-1008,2026-02-27 11:41:00
SYN-E3Z-D62,4590568770549,SYN-E3Z,E3Z Photoelectric Sensor,,true,,,,,2026-05-07 12:43:00
SYN-E3Z-D81,4525282443511,SYN-E3Z,E3Z Photoelectric Sensor,,true,,,,,2026-02-09 00:21:00
SYN-E3Z-D82,4598210298967,SYN-E3Z,E3Z Photoelectric Sensor,,true,,,,,2026-06-23 07:05:00
SYN-E3Z-LS61,4599566002216,SYN-E3Z,E3Z Photoelectric Sensor,,true,,,,,2026-05-13 05:49:00
SYN-E3Z-LS81,4543170127129,SYN-E3Z,E3Z Photoelectric Sensor,,true,,,,,2026-05-17 23:26:00
SYN-E3Z-R61,4595920640726,SYN-E3Z,E3Z Photoelectric Sensor,CZ,true,SYN-E3Z-D62,https://example.omron.test/en/us/products/family/syn-e3z/SYN-E3Z-D62,2021-10-28,,2026-04-25 17:02:00
